Shipping_No,TrackingNumber,Forwarder,Currency,Total Volume (cbm),Origin Code,Origin,Origin Country/Region,Proof Of Delivery Date,Service/Product,Delivery Terms,Total Pieces,Total Actual Weight,Destination Code,Destination,Destination Country/Region,Proof Of Delivery Name,Current Shipment Status,Date
0000178502,DH17931,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Tue, Feb 13, 2018 16:40",,Prepaid,2,618.1 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Feb 13, 2018 16:40"
0000178503,DH17932,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Wed, Feb 28, 2018 16:10",,Prepaid,4,1182.9 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Feb 28, 2018 16:10"
0000178500,DH17934,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Tue, Feb 13, 2018 16:40",,Prepaid,4,1190.1 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Feb 13, 2018 16:40"
0000178528,DH17936,DHL,EUR,16.032,CPH,Copenhagen,DENMARK,"Tue, Feb 27, 2018 15:30",,Prepaid,11,3638.0 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Feb 27, 2018 15:30"
0000178813,DH17973,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Feb 27, 2018 15:30",,Prepaid,1,264.2 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Feb 27, 2018 15:30"
7000038078,DH17974,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Tue, Feb 20, 2018 16:10",,Prepaid,3,650.3 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Feb 20, 2018 16:10"
7000038463,DH18646,DHL,EUR,1.981,CPH,Copenhagen,DENMARK,"Wed, Feb 21, 2018 09:42",,Prepaid,7,158.9 KG,NRT,Narita,JAPAN,NOVO KORIYAMA,Shipment Delivered,"Wed, Feb 21, 2018 09:42"
7000038372,DH19203,DHL,EUR,1.708,CPH,Copenhagen,DENMARK,"Wed, Feb 21, 2018 09:42",,Prepaid,2,193.8 KG,NRT,Narita,JAPAN,NOVO KORIYAMA,Shipment Delivered,"Wed, Feb 21, 2018 09:42"
0000179182,DH20337,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Fri, Mar 23, 2018 15:15",,Prepaid,3,1014.0 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Fri, Mar 23, 2018 15:15"
7000038869,DH21060,DHL,EUR,3.417,CPH,Copenhagen,DENMARK,"Wed, Mar 14, 2018 10:50",,Prepaid,4,536.8 KG,YYZ,"Toronto, On",CANADA,CNE/ALEXEY,Shipment Delivered,"Wed, Mar 14, 2018 10:50"
0000179361,DH21258,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Wed, Mar 14, 2018 13:45",,Prepaid,1,189.9 KG,YYZ,"Toronto, On",CANADA,CNE/TABER,Shipment Delivered,"Wed, Mar 14, 2018 13:45"
0000179524,DH22055,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Mar 20, 2018 15:12",,Prepaid,1,202.8 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Mar 20, 2018 15:12"
0000179631,DH22811,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Thu, Apr 12, 2018 15:26",,Prepaid,3,1013.4 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Thu, Apr 12, 2018 15:26"
0000179633,DH22823,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Fri, Apr 13, 2018 15:00",,Prepaid,3,1019.4 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Fri, Apr 13, 2018 15:00"
0000179910,DH22868,DHL,EUR,17.664,CPH,Copenhagen,DENMARK,"Tue, Apr 17, 2018 16:00",,Prepaid,13,3914.0 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Apr 17, 2018 16:00"
0000179982,DH23204,DHL,EUR,16.032,CPH,Copenhagen,DENMARK,"Thu, Apr 26, 2018 17:11",,Prepaid,11,3602.7 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Thu, Apr 26, 2018 17:11"
7000039792,DH23307,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Wed, Apr 25, 2018 16:50",,Prepaid,1,196.8 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Apr 25, 2018 16:50"
7000039603,DH23308,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Wed, Apr 18, 2018 10:12",,Prepaid,1,197.4 KG,NRT,Narita,JAPAN,NOVO,Shipment Delivered,"Wed, Apr 18, 2018 10:12"
7000039604,DH23438,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Wed, Apr 18, 2018 10:12",,Prepaid,2,428.9 KG,NRT,Narita,JAPAN,NOVO,Shipment Delivered,"Wed, Apr 18, 2018 10:12"
0000180054,DH23463,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Wed, Apr 25, 2018 16:50",,Prepaid,1,260.1 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Apr 25, 2018 16:50"
7000040368,DH25778,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,,,Prepaid,1,210.0 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, May 18, 2018 14:10"
0000180206,DH25787,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,,,Prepaid,3,1019.3 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, May 14, 2018 11:12"
7000040033,DH25789,DHL,EUR,1.982,CPH,Copenhagen,DENMARK,,,Prepaid,7,158.9 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, May 14, 2018 09:57"
0000180209,DH25791,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,,,Prepaid,2,624.1 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, May 14, 2018 09:39"
7000040034,DH25793,DHL,EUR,1.142,CPH,Copenhagen,DENMARK,,,Prepaid,1,257.3 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, May 14, 2018 09:40"
0000180207,DH26085,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, May 08, 2018 17:10",,Prepaid,1,204.5 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, May 08, 2018 17:10"
0000180318,DH26357,DHL,EUR,11.194,CPH,Copenhagen,DENMARK,"Thu, May 10, 2018 15:08",,Prepaid,9,1429.9 KG,YYZ,"Toronto,on",CANADA,CNE/PETER,Shipment Delivered,"Thu, May 10, 2018 15:08"
0000180318,DH26357,DHL,EUR,11.194,CPH,Copenhagen,DENMARK,"Thu, May 10, 2018 15:08",,Prepaid,9,1429.9 KG,YYZ,"Toronto,on",CANADA,CNE/PETER,Shipment Delivered,"Thu, May 10, 2018 15:08"
0000180413,DH26818,DHL,EUR,0.566,CPH,Copenhagen,DENMARK,"Mon, May 14, 2018 15:00",,Prepaid,2,40.9 KG,YYZ,"Toronto, On",CANADA,CNE/JACK,Shipment Delivered,"Mon, May 14, 2018 15:00"
0000180415,DH26819,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Mon, May 14, 2018 15:00",,Prepaid,2,385.1 KG,YYZ,"Toronto,on",CANADA,CNE/JACK,Shipment Delivered,"Mon, May 14, 2018 15:00"
7000040303,DH26900,DHL,EUR,8.89,CPH,Copenhagen,DENMARK,"Mon, May 14, 2018 15:00",,Prepaid,6,2128.0 KG,YYZ,"Toronto,on",CANADA,CNE/JACK,Shipment Delivered,"Mon, May 14, 2018 15:00"
7000040402,DH27377,DHL,EUR,0.739,CPH,Copenhagen,DENMARK,,,Prepaid,1,174.2 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, May 18, 2018 15:19"
7000040843,DH27395,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,,,Prepaid,3,681.2 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, Jun 08, 2018 16:06"
7000040376,DH27491,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Fri, May 25, 2018 10:26",,Prepaid,2,403.5 KG,YYZ,"Toronto, On",CANADA,CNE/ADIL,Shipment Delivered,"Fri, May 25, 2018 10:26"
0000180668,DH27746,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Tue, Jun 05, 2018 12:38",,Prepaid,4,1375.0 KG,YYZ,"Toronto, On",CANADA,CNE/PETER,Shipment Delivered,"Tue, Jun 05, 2018 12:38"
0000180208,DH27755,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,,,Prepaid,4,1181.0 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, May 25, 2018 14:26"
0000180607,DH27882,DHL,EUR,0.85,CPH,Copenhagen,DENMARK,"Tue, May 29, 2018 15:40",,Prepaid,3,70.0 KG,YYZ,"Toronto, On",CANADA,CNE/DELROY,Shipment Delivered,"Tue, May 29, 2018 15:40"
7000040612,DH28083,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Thu, May 31, 2018 13:36",,Prepaid,1,222.2 KG,YYZ,"Toronto, On",CANADA,CNE/JACK,Shipment Delivered,"Thu, May 31, 2018 13:36"
7000040641,DH28408,DHL,EUR,1.133,CPH,Copenhagen,DENMARK,"Tue, Jun 05, 2018 12:38",,Prepaid,4,89.8 KG,YYZ,"Toronto,on",CANADA,CNE/PETER,Shipment Delivered,"Tue, Jun 05, 2018 12:38"
7000040627,DH28425,DHL,EUR,3.753,CPH,Copenhagen,DENMARK,,,Prepaid,3,972.6 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, Jun 11, 2018 15:01"
0000180720,DH28431,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,,,Prepaid,1,258.9 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, Jun 15, 2018 14:33"
0000180833,DH29043,DHL,EUR,2.4,CPH,Copenhagen,DENMARK,"Tue, Jun 12, 2018 15:37",,Prepaid,2,399.6 KG,YYZ,"Toronto, On",CANADA,C EKELUND,Shipment Delivered,"Tue, Jun 12, 2018 15:37"
7000040848,DH29076,DHL,EUR,2.143,CPH,Copenhagen,DENMARK,"Tue, Jun 12, 2018 15:37",,Prepaid,2,235.0 KG,YYZ,"Toronto,on",CANADA,CNE/EKLUND,Shipment Delivered,"Tue, Jun 12, 2018 15:37"
0000180958,DH29631,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,,,Prepaid,4,1221.4 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, Jun 15, 2018 14:54"
7000041023,DH29633,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,,,Prepaid,1,206.9 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Mon, Jun 18, 2018 10:52"
7000041015,DH29703,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Jun 19, 2018 13:05",,Prepaid,1,191.1 KG,YYZ,"Toronto, On",CANADA,JACK W,Shipment Delivered,"Tue, Jun 19, 2018 13:05"
7000041368,DH30498,DHL,EUR,0.816,CPH,Copenhagen,DENMARK,"Tue, Jun 26, 2018 14:50",,Prepaid,1,127.6 KG,YYZ,"Toronto,on",CANADA,CNE/PETER P,Shipment Delivered,"Tue, Jun 26, 2018 14:50"
0000181132,DH30502,DHL,EUR,13.152,CPH,Copenhagen,DENMARK,"Tue, Jun 26, 2018 14:50",,Prepaid,9,3042.0 KG,YYZ,"Toronto,on",CANADA,CNE/PETER P,Shipment Delivered,"Tue, Jun 26, 2018 14:50"
0000181257,DH30791,DHL,EUR,8.918,CPH,Copenhagen,DENMARK,"Tue, Jul 03, 2018 15:20",,Prepaid,7,1195.9 KG,YYZ,"Toronto, On",CANADA,JIM,Shipment Delivered,"Tue, Jul 03, 2018 15:20"
0000181370,DH30983,DHL,EUR,12.969,CPH,Copenhagen,DENMARK,"Tue, Jul 10, 2018 19:50",,Prepaid,11,1712.5 KG,YYZ,"Toronto, On",CANADA,JIM MOORE,Shipment Delivered,"Tue, Jul 10, 2018 19:50"
7000041569,DH31071,DHL,EUR,3.177,CPH,Copenhagen,DENMARK,"Wed, Jul 11, 2018 18:00",,Prepaid,3,777.8 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Jul 11, 2018 18:00"
0000181311,DH31412,DHL,EUR,5.863,CPH,Copenhagen,DENMARK,"Tue, Jul 17, 2018 17:10",,Prepaid,4,1041.5 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Jul 17, 2018 17:10"
0000181378,DH31516,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Thu, Jul 19, 2018 08:43",,Prepaid,1,195.3 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Thu, Jul 19, 2018 08:43"
7000041686,DH31517,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Tue, Jul 31, 2018 12:26",,Prepaid,4,919.1 KG,NRT,Narita,JAPAN,NOVO,Shipment Delivered,"Tue, Jul 31, 2018 12:26"
0000181471,DH31864,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Wed, Jul 25, 2018 15:30",,Prepaid,3,928.1 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Jul 25, 2018 15:30"
0000181464,DH31866,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Thu, Jul 26, 2018 10:20",,Prepaid,2,624.1 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Thu, Jul 26, 2018 10:20"
7000041896,DH31867,DHL,EUR,1.708,CPH,Copenhagen,DENMARK,"Thu, Jul 26, 2018 10:20",,Prepaid,2,193.9 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Thu, Jul 26, 2018 10:20"
7000041998,DH31868,DHL,EUR,5.845,CPH,Copenhagen,DENMARK,"Thu, Aug 02, 2018 15:30",,Prepaid,5,1493.3 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Thu, Aug 02, 2018 15:30"
7000042053,DH31871,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Tue, Jul 31, 2018 12:26",,Prepaid,2,385.0 KG,NRT,Narita,JAPAN,NOVO,Shipment Delivered,"Tue, Jul 31, 2018 12:26"
7000042052,DH31872,DHL,EUR,3.72,CPH,Copenhagen,DENMARK,"Tue, Jul 31, 2018 12:26",,Prepaid,2,385.0 KG,NRT,Narita,JAPAN,NOVO,Shipment Delivered,"Tue, Jul 31, 2018 12:26"
7000041710,DH31925,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Wed, Jul 18, 2018 17:00",,Prepaid,4,793.5 KG,YYZ,"Toronto,on",CANADA,COLIN,Shipment Delivered,"Wed, Jul 18, 2018 17:00"
0000181462,DH32072,DHL,EUR,10.08,CPH,Copenhagen,DENMARK,"Mon, Jul 16, 2018 16:30",,Prepaid,7,2355.5 KG,YYZ,"Toronto,on",CANADA,JACK WOZNIAK,Shipment Delivered,"Mon, Jul 16, 2018 16:30"
0000181636,DH32840,DHL,EUR,39.936,CPH,Copenhagen,DENMARK,"Tue, Jul 24, 2018 16:09",,Prepaid,26,9275.9 KG,YYZ,"Toronto,on",CANADA,JACK,Shipment Delivered,"Tue, Jul 24, 2018 16:09"
7000041995,DH32854,DHL,EUR,1.238,CPH,Copenhagen,DENMARK,"Tue, Jul 24, 2018 16:09",,Prepaid,1,206.4 KG,YYZ,"Toronto,on",CANADA,JACK,Shipment Delivered,"Tue, Jul 24, 2018 16:09"
0000181677,DH33135,DHL,EUR,10.944,CPH,Copenhagen,DENMARK,"Tue, Jul 31, 2018 17:10",,Prepaid,8,2489.0 KG,YYZ,"Toronto, On",CANADA,JIM,Shipment Delivered,"Tue, Jul 31, 2018 17:10"
0000181641,DH33157,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,,,Prepaid,1,258.9 KG,NRT,Narita,JAPAN,,Import Customs Cleared,"Fri, Aug 03, 2018 15:28"
0000181640,DH33159,DHL,EUR,7.44,CPH,Copenhagen,DENMARK,"Tue, Aug 21, 2018 15:00",,Prepaid,4,1279.5 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Tue, Aug 21, 2018 15:00"
0000181779,DH33333,DHL,EUR,10.08,CPH,Copenhagen,DENMARK,"Fri, Aug 03, 2018 16:15",,Prepaid,7,1700.2 KG,YYZ,"Toronto, On",CANADA,BRAD,Shipment Delivered,"Fri, Aug 03, 2018 16:15"
7000042114,DH33363,DHL,EUR,0.816,CPH,Copenhagen,DENMARK,"Tue, Jul 31, 2018 13:00",,Prepaid,1,108.4 KG,YYZ,"Toronto, On",CANADA,CNE/JACK,Shipment Delivered,"Tue, Jul 31, 2018 13:00"
7000042258,DH33767,DHL,EUR,2.343,CPH,Copenhagen,DENMARK,"Wed, Aug 08, 2018 11:00",,Prepaid,2,389.4 KG,YYZ,"Toronto, On",CANADA,ADIL R,Shipment Delivered,"Wed, Aug 08, 2018 11:00"
7000042322,DH33934,DHL,EUR,2.784,CPH,Copenhagen,DENMARK,"Wed, Aug 08, 2018 11:00",,Prepaid,2,561.0 KG,YYZ,"Toronto, On",CANADA,ADIL R,Shipment Delivered,"Wed, Aug 08, 2018 11:00"
0000181917,DH34418,DHL,EUR,6.672,CPH,Copenhagen,DENMARK,"Tue, Aug 14, 2018 14:20",,Prepaid,5,1539.9 KG,YYZ,"Toronto, On",CANADA,JACK W,Shipment Delivered,"Tue, Aug 14, 2018 14:20"
0000181920,DH34432,DHL,EUR,15.36,CPH,Copenhagen,DENMARK,"Fri, Aug 17, 2018 15:00",,Prepaid,10,3541.8 KG,YYZ,"Toronto, On",CANADA,CNE/JACK,Shipment Delivered,"Fri, Aug 17, 2018 15:00"
0000182086,DH34990,DHL,EUR,4.464,CPH,Copenhagen,DENMARK,"Tue, Aug 28, 2018 13:20",,Prepaid,4,727.6 KG,YYZ,"Toronto, On",CANADA,CNE/JACK,Shipment Delivered,"Tue, Aug 28, 2018 13:20"
0000182032,DH35002,DHL,EUR,5.472,CPH,Copenhagen,DENMARK,"Tue, Aug 21, 2018 14:40",,Prepaid,4,1247.0 KG,YYZ,"Toronto,on",CANADA,JACK W,Shipment Delivered,"Tue, Aug 21, 2018 14:40"
7000042550,DH35017,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Aug 28, 2018 10:21",,Prepaid,1,186.3 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Tue, Aug 28, 2018 10:21"
7000042551,DH35022,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Aug 28, 2018 10:21",,Prepaid,1,186.3 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Tue, Aug 28, 2018 10:21"
7000042549,DH35024,DHL,EUR,1.86,CPH,Copenhagen,DENMARK,"Tue, Aug 28, 2018 10:21",,Prepaid,1,186.2 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Tue, Aug 28, 2018 10:21"
0000182188,DH35163,DHL,EUR,34.224,CPH,Copenhagen,DENMARK,"Tue, Sep 04, 2018 10:40",,Prepaid,23,7593.4 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Tue, Sep 04, 2018 10:40"
0000182082,DH35332,DHL,EUR,5.863,CPH,Copenhagen,DENMARK,"Fri, Sep 07, 2018 11:12",,Prepaid,4,1041.5 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Fri, Sep 07, 2018 11:12"
7000042616,DH35333,DHL,EUR,5.58,CPH,Copenhagen,DENMARK,"Wed, Sep 05, 2018 18:00",,Prepaid,3,635.3 KG,NRT,Narita,JAPAN,NOVO NORDIS,Shipment Delivered,"Wed, Sep 05, 2018 18:00"
7000042615,DH35334,DHL,EUR,1.701,CPH,Copenhagen,DENMARK,"Wed, Aug 29, 2018 10:26",,Prepaid,6,136.2 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Wed, Aug 29, 2018 10:26"
7000042675,DH35336,DHL,EUR,0.739,CPH,Copenhagen,DENMARK,"Thu, Aug 30, 2018 11:54",,Prepaid,1,136.0 KG,NRT,Narita,JAPAN,CHUO,Shipment Delivered,"Thu, Aug 30, 2018 11:54"
7000042671,DH35404,DHL,EUR,2.426,CPH,Copenhagen,DENMARK,"Mon, Aug 27, 2018 15:00",,Prepaid,3,277.3 KG,YYZ,"Toronto,on",CANADA,JACK WOZNIAK,Shipment Delivered,"Mon, Aug 27, 2018 15:00"
7000042682,DH35426,DHL,EUR,9.3,CPH,Copenhagen,DENMARK,"Fri, Aug 31, 2018 15:15",,Prepaid,5,1247.5 KG,YYZ,"Toronto, On",CANADA,CNE/DELROY,Shipment Delivered,"Fri, Aug 31, 2018 15:15"
0000182161,DH35569,DHL,EUR,10.416,CPH,Copenhagen,DENMARK,"Tue, Aug 28, 2018 13:20",,Prepaid,7,2168.8 KG,YYZ,"Toronto,on",CANADA,CNE/JACK,Shipment Delivered,"Tue, Aug 28, 2018 13:20"
